樹木ID,樹高(ｍ),樹冠直径(ｍ),樹冠体積(ｍ3),胸高直径(cm),樹種,経度,緯度,標高
59,21.800000000000001,7.094000000000000,497.697999999999979,17,A,139.536946942000100,35.789964368000028,1.089999999996508
60,21.399999999999999,6.142000000000000,378.348999999999990,48,A,139.537115722000067,35.789974428000050,2.059999999997672
61,22.000000000000000,5.579000000000000,283.365999999999985,46,A,139.537035957000057,35.789915553000071,3.919999999998254
62,18.399999999999999,6.070000000000000,267.745999999999981,43,A,139.537148593000097,35.789940618000060,2.710000000006403
63,22.500000000000000,6.772000000000000,485.351999999999975,40,A,139.537024844000030,35.789958971000033,2.289999999993597
64,20.699999999999999,1.563000000000000,11.000000000000000,39,A,139.537136093000072,35.790000167000073,3.880000000004657
65,22.100000000000001,10.770000000000000,1293.853000000000065,32,A,139.537050526000030,35.789894858000025,1.800000000002910
66,21.800000000000001,4.382000000000000,149.324999999999989,30,A,139.537050889000056,35.790005635000057,1.539999999993597
67,19.199999999999999,8.558000000000000,694.426000000000045,44,A,139.537430846000120,35.789988995000044,4.740000000005239
68,17.600000000000001,1.182000000000000,3.810000000000000,50,A,139.537387758000023,35.789973656000029,3.380000000004657
69,20.399999999999999,2.816000000000000,37.356000000000002,38,A,139.536718411000038,35.789838516000032,7.940000000002328
70,21.899999999999999,3.593000000000000,123.822000000000003,44,A,139.536818496000024,35.789757912000027,1.869999999995343
71,20.800000000000001,10.298999999999999,1182.468000000000075,33,A,139.536639073000060,35.789694645000054,2.679999999993015
72,17.899999999999999,2.332000000000000,43.656999999999996,43,A,139.536704676000113,35.789694266000026,4.309999999997672
73,22.199999999999999,3.445000000000000,102.015000000000001,31,A,139.536464508000108,35.790437198000063,4.220000000001164
74,23.300000000000001,8.487000000000000,873.982999999999947,22,A,139.536365419000049,35.790398286000027,1.240000000005239
75,21.899999999999999,7.356000000000000,401.694000000000017,26,A,139.536381185000096,35.790234369000075,1.570000000006985
76,16.600000000000001,5.222000000000000,96.310000000000002,35,A,139.536578493000093,35.790248376000079,2.240000000005239
77,23.800000000000001,7.114000000000000,457.504000000000019,42,A,139.536623243000008,35.790292653000051,4.250000000000000
78,24.300000000000001,2.776000000000000,22.457000000000001,43,A,139.536543310000070,35.790278845000046,0.76
79,23.800000000000001,5.011000000000000,194.594999999999999,21,A,139.536459959000013,35.790351559000044,1.500000000000000
80,24.199999999999999,4.402000000000000,160.930000000000007,31,A,139.536538198000017,35.790434045000040,1.350000000005821
81,24.600000000000001,5.494000000000000,290.480999999999995,21,A,139.536553738000066,35.790390098000046,1.240000000005239
82,20.399999999999999,6.289000000000000,288.098000000000013,25,A,139.536643007000066,35.790332812000031,5.240000000005239
83,23.899999999999999,10.600000000000000,1230.621000000000095,37,A,139.536416855000084,35.790132153000059,5.070000000006985
84,23.500000000000000,3.662000000000000,139.393000000000001,36,A,139.536437970000065,35.790136262000033,1.740000000005239
85,24.100000000000001,16.588000000000001,2255.333000000000084,46,A,139.536509246000037,35.790098040000032,1.070000000006985
86,24.699999999999999,9.271000000000001,610.467999999999961,34,A,139.536544110000023,35.790153109000073,1.259999999994761
87,21.899999999999999,4.583000000000000,105.893000000000001,36,A,139.536590985000089,35.790191171000060,1.229999999995925
88,23.500000000000000,0.966,4.434000000000000,28,A,139.536613390000070,35.790116054000066,1.250000000000000
89,24.300000000000001,4.714000000000000,191.264999999999986,40,A,139.536623572000053,35.790114817000074,1.320000000006985
90,18.800000000000001,0.467,0.624,31,A,139.536616946000095,35.790111736000028,2.779999999998836
91,23.899999999999999,7.154000000000000,514.783000000000015,10,A,139.536612822000052,35.790060439000058,1.279999999998836
92,23.399999999999999,1.956000000000000,29.702000000000002,36,A,139.536596223000060,35.790032005000057,1.220000000001164
93,23.699999999999999,3.039000000000000,74.430000000000007,35,A,139.536593140000036,35.790028212000038,1.250000000000000
94,23.300000000000001,9.622999999999999,778.818999999999960,34,A,139.536561268000014,35.790001363000044,1.270000000004075
95,22.100000000000001,18.001000000000001,2755.347000000000207,18,A,139.536588666000057,35.789743734000069,1.240000000005239
96,17.600000000000001,1.085000000000000,5.328000000000000,65,A,139.536572455000055,35.789729814000054,1.250000000000000
97,18.800000000000001,11.016999999999999,1121.324000000000069,56,A,139.536615406000010,35.789662949000046,1.259999999994761
98,23.000000000000000,10.759000000000000,1295.140000000000100,43,A,139.536684450000052,35.789838252000038,3.270000000004075
99,23.699999999999999,7.380000000000000,628.731999999999971,27,A,139.536677531000009,35.789824535000037,1.240000000005239
100,23.600000000000001,5.439000000000000,309.841000000000008,49,A,139.536692308000056,35.789777791000063,1.229999999995925
101,21.300000000000001,3.746000000000000,103.290999999999997,38,A,139.536754615000063,35.789830854000058,1.279999999998836
102,22.199999999999999,3.737000000000000,140.451999999999998,32,A,139.536754599000119,35.789835090000054,1.229999999995925
103,22.500000000000000,6.196000000000000,398.262000000000000,22,A,139.536859053000057,35.789799384000048,1.339999999996508
104,18.000000000000000,1.165000000000000,6.708000000000000,33,A,139.536924094000028,35.789831362000029,2.250000000000000
105,19.300000000000001,0.746,2.019000000000000,25,A,139.536841433000063,35.789777708000031,2.720000000001164
106,22.800000000000001,5.532000000000000,243.431000000000012,29,A,139.536751912000113,35.790409425000064,1.270000000004075
107,17.100000000000001,1.406000000000000,13.760999999999999,35,A,139.536740228000099,35.790368294000075,1.270000000004075
108,22.100000000000001,6.552000000000000,358.369000000000028,38,A,139.536781187000088,35.790480163000041,6.509999999994761
109,22.500000000000000,6.040000000000000,252.331999999999994,29,A,139.536818860000039,35.790434377000054,3.309999999997672
110,18.199999999999999,1.197000000000000,3.934000000000000,54,A,139.536874143000091,35.790442806000044,2.750000000000000
111,16.199999999999999,1.420000000000000,7.132000000000000,25,A,139.536915191000048,35.790441465000072,1.720000000001164
112,14.400000000000000,1.837000000000000,9.025000000000000,22,A,139.536884321000116,35.790442651000035,2.240000000005239
113,23.399999999999999,12.866000000000000,1996.701000000000022,33,A,139.536877540000091,35.790362053000024,1.279999999998836
114,20.699999999999999,1.767000000000000,24.625000000000000,15,A,139.536892694000016,35.790332887000034,2.509999999994761
115,17.800000000000001,1.170000000000000,4.869000000000000,23,A,139.536905205000039,35.790330033000032,1.759999999994761
116,17.000000000000000,1.303000000000000,10.067000000000000,27,A,139.536903846000087,35.790308758000037,1.250000000000000
117,17.699999999999999,1.473000000000000,15.462000000000000,23,A,139.536877547000017,35.790300581000054,1.270000000004075
118,19.699999999999999,6.882000000000000,368.928999999999974,23,A,139.536871407000035,35.790285694000033,1.250000000000000
119,24.000000000000000,8.253000000000000,729.116999999999962,34,A,139.536841951000042,35.790323207000029,1.279999999998836
120,11.600000000000000,1.684000000000000,13.949000000000000,26,A,139.536801795000088,35.790293093000059,2.759999999994761
121,22.800000000000001,14.709000000000000,2767.163000000000011,33,A,139.536750218000066,35.790299546000028,1.710000000006403
122,22.899999999999999,5.504000000000000,336.711999999999989,33,A,139.536784366000120,35.790339109000058,1.910000000003492
123,22.100000000000001,2.754000000000000,61.887000000000000,27,A,139.536753449000116,35.790293515000030,1.770000000004075
124,18.199999999999999,1.209000000000000,3.445000000000000,20,A,139.536692571000117,35.790183310000032,1.820000000006985
125,11.100000000000000,0.975,2.383000000000000,29,A,139.536684845000082,35.790148498000065,1.250000000000000
126,22.300000000000001,11.811999999999999,1477.443999999999960,35,A,139.536746421000089,35.790160278000030,1.330000000001746
127,22.000000000000000,9.090999999999999,721.495000000000005,28,A,139.536957179000069,35.790216681000061,0.95
128,19.600000000000001,1.351000000000000,11.429000000000000,41,A,139.536925958000097,35.790133770000068,1.270000000004075
129,16.600000000000001,0.524,0.375,35,A,139.536930572000074,35.790082855000037,1.250000000000000
130,22.600000000000001,9.728999999999999,1152.435999999999922,38,A,139.536912911000059,35.790042431000074,2.229999999995925
131,21.500000000000000,3.249000000000000,75.260000000000005,29,A,139.536906499000111,35.790041243000076,2.270000000004075
132,22.399999999999999,3.884000000000000,144.537000000000006,45,A,139.536883171000113,35.790037490000032,1.250000000000000
133,21.899999999999999,3.464000000000000,113.689999999999998,40,A,139.536872353000035,35.790001319000055,1.240000000005239
134,21.699999999999999,4.708000000000000,211.282999999999987,15,A,139.536878141000102,35.789961855000058,1.250000000000000
135,21.600000000000001,3.893000000000000,63.536999999999999,20,A,139.536921478000068,35.789910224000039,1.779999999998836
136,21.800000000000001,3.571000000000000,67.697000000000003,35,A,139.536916432000112,35.789898584000071,1.240000000005239
137,22.699999999999999,4.362000000000000,121.230000000000004,25,A,139.536885411000071,35.789881111000057,1.250000000000000
138,22.699999999999999,6.349000000000000,433.995999999999981,26,A,139.536863468000092,35.789861768000037,2.240000000005239
139,22.399999999999999,9.430999999999999,947.251999999999953,56,A,139.536864927000011,35.789856003000068,2.259999999994761
140,23.000000000000000,10.350000000000000,1238.961999999999989,43,A,139.536768846000086,35.789901014000066,1.250000000000000
141,21.899999999999999,5.330000000000000,285.529999999999973,23,A,139.536810107000065,35.789901927000074,1.250000000000000
142,23.000000000000000,7.200000000000000,452.358999999999980,26,A,139.536715385000093,35.789849145000062,1.250000000000000
143,19.699999999999999,9.081000000000000,539.102999999999952,42,A,139.536643533000074,35.789953074000039,1.250000000000000
144,18.800000000000001,4.302000000000000,76.536000000000001,28,A,139.536658515000113,35.789970146000030,1.250000000000000
145,24.500000000000000,7.053000000000000,407.478000000000009,40,A,139.536650192000025,35.790006991000041,1.250000000000000
146,19.300000000000001,8.266999999999999,482.473999999999990,44,A,139.536719822000009,35.790054303000034,1.229999999995925
147,19.199999999999999,5.419000000000000,130.818999999999988,49,A,139.536729881000042,35.789996822000035,1.250000000000000
148,16.500000000000000,3.469000000000000,52.887999999999998,24,A,139.536682482000060,35.789951006000024,1.259999999994761
149,22.300000000000001,5.813000000000000,337.079999999999984,41,A,139.536816645000044,35.790077707000080,1.240000000005239
150,21.699999999999999,4.297000000000000,120.513000000000005,36,A,139.536747940000055,35.790108724000049,1.259999999994761
151,25.600000000000001,10.606000000000000,1346.249000000000024,20,A,139.536652344000117,35.790112544000067,1.259999999994761
152,21.300000000000001,10.353999999999999,982.721000000000004,15,A,139.536806165000030,35.790188637000028,1.220000000001164
153,24.100000000000001,14.054000000000000,2414.335000000000036,31,A,139.536944483000070,35.790477771000042,1.259999999994761
154,20.199999999999999,7.635000000000000,418.468999999999994,40,A,139.536996386000055,35.790443017000030,1.250000000000000
155,13.400000000000000,4.088000000000000,71.483999999999995,27,A,139.537057781000044,35.790473634000080,1.100000000005821
156,22.399999999999999,12.720000000000001,2051.677000000000135,20,A,139.536990598000102,35.790392978000057,1.770000000004075
157,16.500000000000000,2.664000000000000,40.366000000000000,34,A,139.537115539000069,35.790262229000064,1.240000000005239
158,17.699999999999999,3.915000000000000,56.302999999999997,50,A,139.537124602000063,35.790234850000047,1.229999999995925
159,22.100000000000001,4.859000000000000,130.520999999999987,27,A,139.537179235000053,35.790239492000069,1.250000000000000
160,23.500000000000000,10.786000000000000,1319.538000000000011,34,A,139.537198914000101,35.790213131000030,1.270000000004075
161,22.100000000000001,9.364000000000001,822.745000000000005,28,A,139.537158334000083,35.790475775000061,1.229999999995925
162,21.800000000000001,5.849000000000000,359.411000000000001,23,A,139.537158021000096,35.790470726000024,1.229999999995925
163,17.800000000000001,0.814,3.834000000000000,10,A,139.537132466000116,35.790500588000043,1.360000000000582
164,20.500000000000000,5.127000000000000,190.592999999999989,38,A,139.537133698000048,35.790436866000050,1.250000000000000
165,21.199999999999999,3.106000000000000,48.052000000000000,28,A,139.537195875000066,35.790406102000077,1.279999999998836
166,21.399999999999999,0.55,0.913,22,A,139.537163431000067,35.790384210000070,1.570000000006985
167,21.899999999999999,3.082000000000000,81.120000000000005,21,A,139.537156342000117,35.790386536000028,2.250000000000000
168,24.500000000000000,16.440000000000001,3531.047000000000025,34,A,139.537231468000073,35.790443686000060,1.259999999994761
169,17.600000000000001,1.029000000000000,1.972000000000000,34,A,139.537069504000101,35.790414985000041,2.259999999994761
170,22.100000000000001,13.613000000000000,2055.682999999999993,39,A,139.537004054000022,35.790076096000064,1.220000000001164
171,22.199999999999999,6.096000000000000,388.708000000000027,32,A,139.537003197000104,35.789979018000054,1.270000000004075
172,21.800000000000001,4.864000000000000,203.997000000000014,34,A,139.536950529000023,35.789981682000075,1.259999999994761
173,21.899999999999999,4.718000000000000,189.304000000000002,15,A,139.536997368000016,35.789940065000053,1.270000000004075
174,22.500000000000000,7.815000000000000,696.187999999999988,52,A,139.536969930000055,35.789910974000065,1.250000000000000
175,20.600000000000001,3.034000000000000,76.977999999999994,55,A,139.536989649000020,35.789873797000041,1.250000000000000
176,21.699999999999999,5.879000000000000,257.781000000000006,25,A,139.536990475000039,35.789859738000075,1.240000000005239
177,10.900000000000000,2.488000000000000,15.289999999999999,50,A,139.537214483000071,35.789952678000077,1.350000000005821
178,21.000000000000000,7.246000000000000,465.459000000000003,40,A,139.537170733000039,35.789966722000031,1.350000000005821
179,18.800000000000001,3.975000000000000,89.281000000000006,45,A,139.537071604000062,35.790147469000033,1.240000000005239
180,23.100000000000001,15.233000000000001,2366.360000000000127,39,A,139.537164305000033,35.790148599000077,1.240000000005239
181,21.399999999999999,1.495000000000000,10.054000000000000,42,A,139.537201361000029,35.790149952000036,1.300000000002910
182,23.199999999999999,5.096000000000000,234.738000000000000,20,A,139.537234062000039,35.790161930000068,0.94
183,14.600000000000000,1.718000000000000,5.250000000000000,54,A,139.537213076000057,35.790063361000080,1.139999999999418
184,22.000000000000000,13.747999999999999,2275.237999999999829,20,A,139.537046658000008,35.789983271000040,3.250000000000000
185,21.600000000000001,11.804000000000000,1488.928000000000111,30,A,139.537092225000038,35.790075862000037,3.759999999994761
186,20.800000000000001,3.078000000000000,79.796999999999997,26,A,139.537347532000013,35.790111463000073,1.259999999994761
187,23.399999999999999,8.864000000000001,1018.140999999999963,34,A,139.537342896000041,35.790078733000030,1.250000000000000
188,21.899999999999999,1.266000000000000,11.436999999999999,43,A,139.537350529000037,35.790078842000071,1.250000000000000
189,23.699999999999999,14.900000000000000,3044.427000000000135,50,A,139.537318193000033,35.790057761000071,1.240000000005239
190,23.300000000000001,8.247999999999999,761.783999999999992,43,A,139.537273831000107,35.790028087000053,1.250000000000000
191,20.199999999999999,2.141000000000000,27.219000000000001,17,A,139.537274853000099,35.790021059000026,1.369999999995343
192,22.899999999999999,16.143999999999998,2580.184999999999945,24,A,139.537265930000103,35.790010852000080,1.380000000004657
193,17.800000000000001,0.762,1.317000000000000,35,A,139.537327177000066,35.789991984000039,1.220000000001164
194,21.300000000000001,5.498000000000000,303.581000000000017,21,A,139.537378438000019,35.790130198000043,3.250000000000000
195,19.800000000000001,1.608000000000000,18.178999999999998,45,A,139.537428065000086,35.790201887000080,1.250000000000000
196,23.300000000000001,7.208000000000000,622.230000000000018,24,A,139.537483670000029,35.790213110000025,1.500000000000000
197,18.199999999999999,2.164000000000000,31.353999999999999,43,A,139.537525665000089,35.790195006000033,1.460000000006403
198,21.600000000000001,5.208000000000000,338.415999999999997,17,A,139.537541868000062,35.790151241000046,2.169999999998254
199,19.300000000000001,2.029000000000000,23.312999999999999,36,A,139.537573580000071,35.790101654000068,1.240000000005239
200,18.300000000000001,0.867,2.914000000000000,42,A,139.537575712000034,35.790093637000041,3.259999999994761
201,11.800000000000001,0.686,1.329000000000000,39,A,139.537551962000066,35.790024535000043,2.740000000005239
202,17.100000000000001,2.519000000000000,52.302000000000000,30,A,139.537556513000027,35.790020310000045,2.770000000004075
203,15.800000000000001,4.157000000000000,118.212999999999994,25,A,139.537634309000055,35.790013651000038,1.740000000005239
204,17.500000000000000,3.453000000000000,94.587000000000003,34,A,139.537420862000090,35.790056121000077,1.250000000000000
205,17.500000000000000,3.409000000000000,87.950000000000003,19,A,139.537434692000033,35.790025869000033,1.259999999994761
206,21.399999999999999,13.901000000000000,2182.076000000000022,32,A,139.537522335000062,35.790078453000035,2.580000000001746
207,21.899999999999999,4.852000000000000,235.199999999999989,17,A,139.537475052000104,35.790120430000059,1.740000000005239
208,21.699999999999999,4.343000000000000,206.680000000000007,20,A,139.537523152000063,35.790096753000057,2.279999999998836
209,19.699999999999999,0.534,0.987,36,A,139.537522978000084,35.790084134000040,1.250000000000000
210,22.199999999999999,3.793000000000000,131.673000000000002,24,A,139.537269431000027,35.790498582000055,1.250000000000000
211,23.000000000000000,6.341000000000000,388.228999999999985,38,A,139.537304056000039,35.790439448000029,1.220000000001164
212,22.000000000000000,6.793000000000000,480.153000000000020,17,A,139.537336361000030,35.790289813000072,1.279999999998836
213,22.000000000000000,10.461000000000000,1303.775000000000091,33,A,139.537308247000055,35.790233951000062,2.729999999995925
214,20.800000000000001,2.149000000000000,34.680000000000000,24,A,139.537355526000056,35.790491493000047,1.809999999997672
215,20.699999999999999,1.334000000000000,11.990000000000000,24,A,139.537354887000106,35.790484821000064,1.740000000005239
216,21.699999999999999,4.930000000000000,286.281000000000006,36,A,139.537390627000036,35.790453182000078,1.899999999994179
217,23.399999999999999,8.020000000000000,695.076000000000022,50,A,139.537442278000071,35.790426449000051,1.250000000000000
218,19.899999999999999,2.990000000000000,65.600999999999999,40,A,139.537502105000044,35.790253536000080,1.339999999996508
219,22.300000000000001,3.926000000000000,124.754999999999995,29,A,139.537368031000028,35.790400938000062,1.250000000000000
220,23.300000000000001,11.051000000000000,1397.003999999999905,35,A,139.537335767000059,35.790449982000041,5.320000000006985
221,10.100000000000000,1.602000000000000,5.599000000000000,22,A,139.536634296000102,35.790473762000033,3.070000000006985
222,19.100000000000001,2.323000000000000,36.143000000000001,11,A,139.536376135000069,35.790313134000030,1.330000000001746
223,23.800000000000001,5.562000000000000,211.465000000000003,26,A,139.536466892000021,35.790212497000027,1.190000000002328
224,20.699999999999999,2.183000000000000,19.332000000000001,15,A,139.536567901000012,35.790121710000051,1.770000000004075
225,18.899999999999999,1.627000000000000,14.817000000000000,37,A,139.536587426000096,35.790136901000039,1.720000000001164
226,25.399999999999999,8.137000000000000,683.652000000000044,22,A,139.536626408000075,35.790185129000065,2.740000000005239
227,21.500000000000000,0.893,1.946000000000000,19,A,139.536804189000009,35.790363314000047,1.389999999999418
228,22.899999999999999,5.814000000000000,249.258000000000010,13,A,139.536819020000053,35.790391293000027,2.289999999993597
229,21.800000000000001,5.017000000000000,267.577999999999975,30,A,139.536745250000081,35.790386154000032,2.339999999996508
230,23.000000000000000,7.948000000000000,650.652000000000044,36,A,139.536809920000110,35.790399022000031,1.979999999995925
231,23.199999999999999,10.622000000000000,1165.477000000000089,39,A,139.537009154000089,35.790490189000025,3.089999999996508
232,21.300000000000001,5.655000000000000,303.062000000000012,39,A,139.537403017000088,35.790453212000045,1.779999999998836
233,21.800000000000001,4.694000000000000,154.288000000000011,21,A,139.537341032000086,35.790372749000028,1.490000000005239
234,22.600000000000001,6.818000000000000,506.408999999999992,36,A,139.537432883000065,35.790334668000071,1.490000000005239
235,23.000000000000000,7.605000000000000,795.616999999999962,23,A,139.537516149000112,35.790225268000029,1.559999999997672
236,18.800000000000001,9.006000000000000,736.356999999999971,39,A,139.537454871000023,35.789983826000025,2.440000000002328
237,21.699999999999999,6.496000000000000,446.639999999999986,32,A,139.536961795000025,35.789837584000054,2.000000000000000
238,22.300000000000001,4.309000000000000,180.751000000000005,60,A,139.536919081000065,35.789810979000038,2.190000000002328
239,22.600000000000001,6.008000000000000,411.629000000000019,43,A,139.536830466000083,35.789781827000070,2.289999999993597
240,23.199999999999999,6.992000000000000,674.442000000000007,24,A,139.536804100000040,35.789732008000044,3.710000000006403
241,22.500000000000000,12.611000000000001,2056.297000000000025,26,A,139.536750643000119,35.789768290000040,3.740000000005239
242,20.500000000000000,2.013000000000000,38.909999999999997,35,A,139.536711934000095,35.789765671000055,2.500000000000000
243,19.800000000000001,5.826000000000000,347.476999999999975,48,A,139.536678901000073,35.789694112000063,2.509999999994761
244,21.500000000000000,9.699000000000000,559.897000000000048,12,A,139.536624906000043,35.789875151000047,3.559999999997672
245,8.199999999999999,2.985000000000000,23.149000000000001,13,A,139.536592217000020,35.789889492000043,2.300000000002910
246,17.699999999999999,4.623000000000000,91.239999999999995,33,A,139.536731217000010,35.789964737000048,1.270000000004075
247,24.199999999999999,8.304000000000000,383.052999999999997,15,A,139.536473794000017,35.790319955000029,2.669999999998254
248,22.800000000000001,2.566000000000000,54.375000000000000,33,A,139.536475872000096,35.790415684000038,5.460000000006403
249,20.500000000000000,0.849,3.485000000000000,32,A,139.536862202000066,35.789755856000056,6.809999999997672
250,22.100000000000001,2.175000000000000,46.412999999999997,36,A,139.536737933000040,35.790301048000060,1.520000000004075
251,25.000000000000000,6.174000000000000,321.689000000000021,34,A,139.536633250000023,35.790041110000061,3.720000000001164
252,20.699999999999999,2.104000000000000,28.856999999999999,24,A,139.536811275000105,35.789736352000034,2.470000000001164
253,20.300000000000001,1.494000000000000,14.531000000000001,36,A,139.536815249000028,35.789857864000055,2.539999999993597
254,22.000000000000000,4.858000000000000,270.915999999999997,19,A,139.536882093000031,35.790059661000043,2.270000000004075
255,22.699999999999999,3.505000000000000,120.165999999999997,22,A,139.537359658000014,35.790481047000071,2.029999999998836
256,20.699999999999999,6.806000000000000,523.535999999999945,31,A,139.537364158000059,35.790490703000046,1.929999999993015
257,21.500000000000000,4.781000000000000,226.271999999999991,37,A,139.537356824000085,35.790260750000073,1.740000000005239
258,17.199999999999999,0.464,0.392,45,A,139.536718600000086,35.789698357000077,1.300000000002910
